date,0,1,2,3,4,5,6
1/3/2015 0:00,-5437.286195,3837.049905,854.0457982,1470.918267,541.8337186,-441.7847325,-712.7719472
1/3/2015 1:00,-7135.136552,3740.129918,490.806161,1340.630054,831.4790476,-156.0395043,-1302.807226
1/3/2015 2:00,-8134.00313,3815.770023,54.62387951,1063.212167,1017.702358,-95.35899358,-1560.140486
1/3/2015 3:00,-8577.741741,3769.954901,-15.92077167,942.4821631,1056.247759,-86.60101031,-1691.359201
1/3/2015 4:00,-8620.41898,3787.687552,2.153681629,1075.184331,1100.986283,58.9167731,-1917.361466
1/3/2015 5:00,-8176.651625,3954.511328,97.90662951,1105.019231,934.337232,29.67644375,-1792.468176
1/3/2015 6:00,-7679.890134,3757.435587,269.9282175,1040.193199,875.0662569,-241.5863734,-1359.621746
1/3/2015 7:00,-6925.02665,2838.173979,961.2202681,1426.717757,985.5469702,-131.1907846,-1532.079077
1/3/2015 8:00,-4743.156108,2774.02123,1813.174532,1347.460996,753.2172041,-172.4998983,-1077.559749
1/3/2015 9:00,-2791.674948,2863.195069,2634.813641,798.9491728,424.9618556,-185.6997888,-727.6858817
1/3/2015 10:00,-2119.011654,3329.664633,2715.244368,-204.4991024,452.8383306,-219.704784,-598.155136
1/3/2015 11:00,-2332.772055,3751.250573,3024.624689,-969.4453617,495.2198368,-77.91261127,-676.9843657
1/3/2015 12:00,-2248.096538,4319.887938,2745.843603,-1615.505651,865.429536,-34.96974621,-967.8897584
1/3/2015 13:00,-2618.70446,4680.43442,2547.037507,-1701.864249,1018.210579,180.1598336,-1423.773807
1/3/2015 14:00,-3870.415616,4678.465793,2109.841516,-1552.424729,1021.182074,218.8830872,-1593.809427
1/3/2015 15:00,-4612.332211,4485.695271,2233.603463,-671.464631,761.0966572,386.7367333,-1794.693057
1/3/2015 16:00,-4962.638843,3981.34294,2238.244544,173.388158,563.9288055,295.1742204,-1679.829574
1/3/2015 17:00,-4324.236273,3817.719315,2404.599051,1148.049917,64.44516884,-12.29551813,-1163.906339
1/3/2015 18:00,-1356.185042,4913.067222,2829.050627,1761.770243,-778.9795815,-498.1849717,-233.9151086
1/3/2015 19:00,344.4250051,5885.662222,2693.217816,1896.571787,-927.3124692,-707.7276458,15.08092086
1/3/2015 20:00,764.6664833,6400.234198,2622.923336,1913.89157,-999.4832972,-766.2084518,89.36991797
1/3/2015 21:00,-179.5357291,6541.553596,2080.677919,1861.479635,-683.7627706,-678.6572761,-23.6623321
1/3/2015 22:00,-2366.646722,6333.186405,1142.83972,1667.11218,0.527943707,-509.3513926,-366.476262
1/3/2015 23:00,-4210.18417,3016.887808,-255.3261558,88.31746951,209.166658,-592.1552539,-457.7389685
1/4/2015 0:00,-5755.506394,2177.590465,-339.6997443,123.7605441,258.8819699,-288.9760063,-823.7577327
1/4/2015 1:00,-6898.180435,1737.768104,-452.4956484,-77.95564985,328.2726219,-301.1764682,-950.126375
1/4/2015 2:00,-7472.625714,1579.476887,-315.1402386,-67.28422399,507.3113975,-306.4539471,-1105.381488
1/4/2015 3:00,-7832.85772,1683.170715,-66.07437646,32.75103509,642.6584335,-387.2352124,-1147.312907
1/4/2015 4:00,-7436.378837,1863.447813,-249.5900357,227.7406611,468.0552606,-406.4235836,-954.8285631
1/4/2015 5:00,-5802.119564,2407.25725,200.7765003,668.7839015,201.1367524,-610.7983525,-623.9365317
1/4/2015 6:00,-3064.283068,3337.477703,855.4018768,959.0456224,-319.1140287,-979.9864813,111.1328401
1/4/2015 7:00,-1440.773014,3872.852151,1254.499498,762.9051751,-679.1882902,-1162.77997,483.7969343
1/4/2015 8:00,-64.76940663,4383.549589,2078.86681,33.77091831,-684.5657336,-686.4191085,97.15734766
1/4/2015 9:00,1030.319613,4387.066603,2611.199854,-1928.490532,-70.12234433,-361.5697728,-147.4239022
1/4/2015 10:00,1306.226536,3972.80959,3109.797332,-2734.374256,179.7728892,-26.09338073,-484.7743718
1/4/2015 11:00,1322.223865,3492.053142,3344.151667,-3002.998933,317.6649607,9.619346382,-519.7002225
1/4/2015 12:00,1056.323887,3159.302581,3340.416405,-3324.081809,437.5572543,55.53206811,-551.2054602
1/4/2015 13:00,174.7389493,2611.22146,3121.336976,-3736.583082,535.6215726,-93.21473019,-395.2739307
1/4/2015 14:00,-652.9837686,3027.461328,2639.298622,-3866.459386,768.0777093,-85.77063807,-360.4203219
1/4/2015 15:00,-1062.399782,3413.498928,2388.5069,-3638.967568,832.3769443,-70.53844521,-381.1988353
1/4/2015 16:00,-1321.444181,3494.450804,2316.696462,-3058.43173,785.4265185,83.6150345,-610.3776981
1/4/2015 17:00,-2016.199838,3473.079649,2337.843111,-2173.3395,630.5912354,239.3651983,-897.6853048
1/4/2015 18:00,-2157.3274,3483.327036,2521.247198,-669.1651129,194.7897035,199.7563202,-1067.331077
1/4/2015 19:00,-451.6359586,4117.254014,2929.061345,1260.56178,-599.5211398,-28.84804015,-805.5302161
1/4/2015 20:00,862.8486461,4716.307547,2328.011649,1702.015142,-883.4221992,-343.4852777,-346.3223437
1/4/2015 21:00,-1323.203435,4414.633261,1803.510311,1150.527907,-657.5670694,-521.5071385,-108.3732586
1/4/2015 22:00,-3312.011946,3880.796957,1434.920325,836.1798003,-147.6319792,-655.8675989,-28.85325645
1/4/2015 23:00,-3673.067219,926.5676048,-1193.844959,610.2454681,346.3967578,2266.637368,859.150008
1/5/2015 0:00,-5239.596497,1034.325387,-502.5170953,1029.103954,1156.654999,2296.306521,622.7746324
1/5/2015 1:00,-6545.080542,1523.732762,-428.9602235,803.5467303,1273.741384,2218.536836,725.8602531
1/5/2015 3:00,-7847.020152,1885.26434,-306.4111009,1013.633293,1110.170281,2732.946353,-136.4732291
1/5/2015 4:00,-8580.036671,1991.558875,-377.6285723,1024.911169,978.3341948,2794.110035,-219.6095943
1/5/2015 5:00,-8752.900712,1943.636267,-370.1438577,1372.402673,1252.436146,2805.941926,-348.1498106
1/5/2015 6:00,-9480.672972,1663.583195,-83.24006454,1533.224279,1226.882386,2852.239583,-369.0227557
1/5/2015 7:00,-9319.102552,1795.310626,-29.09355633,1055.444384,1229.112682,2754.841192,-128.8085543
1/5/2015 8:00,-7560.677941,1754.844467,326.7647046,423.8903535,1351.698451,2663.562171,200.9540369
1/5/2015 9:00,-6207.426151,2308.00036,370.6040792,-811.8057662,1251.86116,2788.826547,329.5735705
1/5/2015 10:00,-5945.194115,3003.200694,446.906255,-1538.124261,1549.124383,3166.444153,305.7149702
1/5/2015 17:00,-8266.01732,982.2368247,860.3114548,-1041.119254,1800.037939,3244.507301,237.7048303
1/5/2015 18:00,-7991.234731,92.23852005,481.4206961,-437.2520595,1386.396947,2674.539994,907.4831166
1/5/2015 19:00,-6516.498875,-572.4989875,729.2860881,630.5208056,1123.106552,2000.689537,1555.673576
1/5/2015 20:00,-3137.542524,-535.1148206,1399.449499,1652.270137,792.0025647,1832.686031,1548.380889
1/5/2015 21:00,-2651.503913,-706.593637,1189.651885,1738.857181,931.4681579,1714.51145,1551.114285
1/5/2015 22:00,-4622.535713,-1069.665282,631.695359,1669.741915,1148.039063,1921.729281,1293.36979
1/5/2015 23:00,-4583.738378,-2346.683502,-740.9443735,-240.409845,-987.359857,1092.607705,1164.388465
1/6/2015 0:00,-5930.540378,-2784.988576,-471.4752606,123.1245004,-701.685097,1520.03486,473.3138067
1/6/2015 1:00,-6768.15172,-3373.792195,-286.088709,252.1582539,-874.5257902,1816.902782,73.15840582
1/6/2015 2:00,-7036.530916,-3853.094327,-284.2504273,260.9486432,-999.8558277,1864.787419,-16.16051631
1/6/2015 3:00,-7106.308376,-4313.191974,-250.1682375,244.008177,-1008.349572,1785.819564,-28.54708964
1/6/2015 4:00,-6546.966298,-4482.410141,-348.4531172,307.4504632,-1159.827542,1745.741844,-1.078419332
1/6/2015 5:00,-4883.750551,-4545.181384,-736.0238966,120.1274731,-1418.487862,1322.561295,661.9540643
1/6/2015 6:00,-2485.330988,-4536.039466,-92.72096268,433.0429697,-2019.289631,1202.929919,843.7458201
1/6/2015 7:00,161.9930897,-4586.277814,1122.540414,531.5378083,-2238.394157,1502.416437,493.280932
1/6/2015 8:00,1856.071878,-4620.13709,2066.159385,-994.6151045,-2237.233617,1812.085125,266.7239779
1/6/2015 9:00,2642.05984,-4630.548065,2740.863262,-1822.216791,-2284.361755,2109.645403,34.76535973
1/6/2015 10:00,3100.785051,-4530.685734,2997.833779,-2230.628645,-2344.095575,2253.778809,-61.05918693
1/6/2015 11:00,3535.992683,-4229.100234,3068.836975,-2556.625796,-2357.223605,2293.121653,-72.26893784
1/6/2015 12:00,3622.926974,-3947.875665,2768.284191,-2693.285039,-2192.997433,2287.041535,-58.77543338
1/6/2015 13:00,2722.664624,-3483.557487,2525.325826,-2714.681412,-2312.542956,2382.42707,-67.3049324
1/6/2015 14:00,1640.926638,-2711.032954,1461.80497,-3062.937886,-2124.982368,2243.60268,151.7207622
1/6/2015 15:00,1021.263204,-2196.204712,1481.441761,-2688.556684,-2184.636078,2289.526085,92.12126563
1/6/2015 16:00,1135.214837,-2240.007318,1329.092444,-2171.214766,-2202.448791,2340.260164,237.7724062
1/6/2015 17:00,951.9899588,-2030.007488,596.2110864,-1516.249661,-2130.096241,2813.065461,565.1926732
1/6/2015 18:00,900.2340301,-1913.863819,105.6950334,-1047.838127,-2313.565114,2425.983196,672.1117112
1/6/2015 19:00,1021.014859,-1747.599447,-206.158263,-542.9185177,-2634.618705,1896.671728,778.9007001
1/6/2015 20:00,1706.523271,-1899.042246,202.8124436,467.9952887,-2999.984195,1699.060395,597.4958971
1/6/2015 21:00,1157.292093,-2193.106184,111.5600739,607.3123607,-3004.754572,1631.365659,538.7711537
1/6/2015 22:00,-1262.355286,-3007.962943,-547.7851081,263.0518553,-2571.383461,1685.214565,517.2207529
